"","text","id","witness","area","record_row_num"
"1","JOHN MACKAY, Contractor, Hereford (61)—examined.",439,"John Mackay","Sutherland, Bettyhill",1
"2","26162. The Chairman.",439,"John Mackay","Sutherland, Bettyhill",2
"3","—Have you been elected a delegate?",439,"John Mackay","Sutherland, Bettyhill",3
"4","—Yes.  The good people of this district, knowing the interest I take in the  class from which I sprang, elected me a delegate and sent for me to come  here from England. But I am also a delegate appointed by the natives of  Sutherland in Canada, New Zealand, Australia, Queensland, and Ceylon,  to represent them before this Commission when it visited Sutherland.  Having regard to your time now I shall defer making any observations  that I had to make to another occasion, when I hope I shall have the pleasure of meeting you in another district, and of submitting myself to any examination the members may wish.",439,"John Mackay","Sutherland, Bettyhill",4
"5","26163. Where shall we have the pleasure of meeting you again?",439,"John Mackay","Sutherland, Bettyhill",5
"6","—Very likely in Inverness.",439,"John Mackay","Sutherland, Bettyhill",6
