"","text","id","witness","area","record_row_num"
"1","DUNCAN SINCLAIR—recalled.",523,"Duncan Sinclair","Ross-shire, Balmacara",1
"2","31182. The Chairman.",523,"Duncan Sinclair","Ross-shire, Balmacara",2
"3","—Do you wish to make any explanation?",523,"Duncan Sinclair","Ross-shire, Balmacara",3
"4","—Mr Maclean referred to me as if I were simply stating my own views, and I wish to explain that what is in the papers read are the identical views of the people. I was appointed a delegate to put down good or bad as they told me. I am ready enough to express my views and ideas; but when I act for others I express their views and ideas.",523,"Duncan Sinclair","Ross-shire, Balmacara",4
